Gateway 0 Arrival Rate	Pure Cloud Total System Response Time	Next Hop Total System Response Time	Probabilistic DF Total System Response Time
0.0	235.78310150711513	0.8877363173581239	0.8801184455391311
50.0	235.76828156163128	0.8708867508951196	0.8705146035526061
100.0	235.75256688567237	0.8530384874511979	0.8531714906380345
150.0	235.73815896531704	0.8352761448386085	0.835759711845261
200.0	235.727422000452	0.8189438183917241	0.8210442226274139
250.0	235.71722796418422	0.8035237914087618	0.8052840618737674
300.0	235.7066123580537	0.7919523087936475	0.7980207252412158
350.0	235.6965371074156	0.8256524837368391	0.7987227612006806
400.0	235.68665397440236	1.104926364081604	0.8233069964847808
450.0	235.678031299866	1.888048119919238	0.95781796962724
500.0	235.66987413171756	3.7652799986099006	1.166847108627702
550.0	235.66188113889126	6.4774729490384235	1.4682936314198691
600.0	235.65445228098687	9.69052716375558	1.8304404520488824
650.0	235.6473308835184	13.145430279955184	2.2221895644260257
700.0	235.64049622652018	16.84515147476538	2.6689433264728253
750.0	235.6337183179513	20.350650285418226	3.0742444770311543
800.0	235.62780010312673	23.97084198929936	3.467327137665638
850.0	235.6222044048139	27.6124620367643	3.8681499085719238
900.0	235.61691571214288	31.286168317903794	4.280058905301184
950.0	235.61179620779407	34.93364135783373	4.720159497758852
1000.0	235.60678406849138	38.47830414011156	5.153682955084529
1050.0	235.60196431669775	41.91117016615677	5.574850651893559
1100.0	235.5972968201943	45.25938735870905	5.9869810554630485
1150.0	235.59295871902867	48.628201730566204	6.393490802409798
1200.0	235.58871268201256	51.89878193624435	6.788676771043288
1250.0	235.58472751506974	55.012489959631694	7.19231893572622
1300.0	235.58083453181803	58.088078194555486	7.577429685170131
1350.0	235.57715952297076	61.1318637749569	7.954301507141375
1400.0	235.5736296371108	64.07169411012666	8.337648129559687
1450.0	235.5700924027342	66.87363490016807	8.731494753431734
1500.0	235.56682045629128	69.6012306399455	9.085091100318934
1550.0	235.56359051620447	72.26287409719241	9.444577819100548
1600.0	235.56050662416018	74.86812216506817	9.791464602932002
1650.0	235.55763203691723	77.38623294754203	10.131861074052093
1700.0	235.55476938580256	79.87019924967383	10.467784450391118
1750.0	235.5519840229386	82.23120703470504	10.794345912053496
1800.0	235.549332699587	84.53607659822899	11.131083550491802
1850.0	235.5468187677681	86.7864278070787	11.453081272870994
1900.0	235.54429748591264	88.95186703813715	11.778545183593275
1950.0	235.48556250277647	141.52432118427433	19.87573155546421
2000.0	235.48403019097373	142.33337723732166	20.374140661312577
2050.0	235.4797514540816	145.07601410717763	21.2263315295993
2100.0	235.47904453730143	145.26817977997604	21.47146019894631
2150.0	235.47881308243655	146.02702230336843	21.53437493546415
2200.0	235.47817763412507	146.95920402302136	21.736771114368576
2250.0	235.47739590728912	147.91660580274504	21.93415797357773
2300.0	235.47677519047176	148.7161661295092	22.04434193885822
2350.0	235.47604570911864	149.5060285038795	22.17597751180423
2400.0	235.4754562846375	150.2036598421526	22.32904680822588
2450.0	235.4746956905978	150.93314395006018	22.460142311206017
2500.0	235.4741185808444	151.72496283377387	22.604753757167504
2550.0	235.47355269124668	152.4491386536361	22.741407201323398
2600.0	235.47284214470582	153.12608156900754	22.873893142138535
2650.0	235.47217945790317	153.83393331872975	23.045817824975153
2700.0	235.4715185884986	154.48082115209272	23.208063872117343
2750.0	235.47079941465563	155.1315365892169	23.358345243884553
2800.0	235.47009222654623	155.80609113787008	23.485948252695824
2850.0	235.469420159874	156.46523992977467	23.62947152483503
2900.0	235.4688194334539	157.09337352182547	23.761559026673147
2950.0	235.4682516001652	157.7175164012953	23.888538301560054
3000.0	235.46768507470952	158.31404511424734	24.03222916524806
3050.0	235.46711684869894	158.91728381290233	24.193042687639423
3100.0	235.4664742598775	159.49571717853743	24.3276802755093
3150.0	235.46583996538547	160.09935645193593	24.45366297106969
3200.0	235.46524433463168	160.65981488478982	24.6019849144297
3250.0	235.46467784408682	161.21879775128906	24.769430196299442
3300.0	235.46412779541524	161.78280030721385	24.922847769338993
3350.0	235.46358085083293	162.33050087877737	25.069630364844535
3400.0	235.46300262900482	162.88196670615358	25.23599980428269
3450.0	235.46245503551745	163.4054204292866	25.40260516836047
3500.0	235.46195490404475	163.9221669553189	25.572677383286265
3550.0	235.4614462065768	164.43835320693307	25.74166566028864
3600.0	235.4609245758855	164.95418896630952	25.903613113786566
3650.0	235.4604343853835	165.4420283012507	26.07941486012475
3700.0	235.45998689995582	165.91756417883698	26.246004655867875
3750.0	235.45951366276486	166.39989453490122	26.4208292170062
3800.0	235.45904570555885	166.87900959242478	26.60097510878965
3850.0	235.45858377151075	167.33839576331275	26.78014342599237
3900.0	235.45813554381266	167.80877654916608	26.969972825672393
3950.0	235.45769383069234	168.25184176800664	27.15313168958674
4000.0	235.45726532415637	168.68538694256114	27.3322407895171
4050.0	235.45684497329427	169.1299382738777	27.515046726034836
4100.0	235.45640787317552	169.56162315538464	27.69437291771602
4150.0	235.4559926635001	169.987256945311	27.880372785408905
4200.0	235.45556090373043	170.4078778552054	28.063976017701332
4250.0	235.45514169955135	170.81794823144375	28.23979588113795
4300.0	235.45474040062936	171.2202056250672	28.429868813149817
4350.0	235.45431445262057	171.62220252332	28.623246842741064
4400.0	235.45391248746415	172.03128821446742	28.806282677763107
4450.0	235.453524618215	172.4230553555808	28.98448198737841
4500.0	235.45314320966972	172.8164651948547	29.172913647086876
4550.0	235.45276274008947	173.19471469872857	29.363345134839456
4600.0	235.45238068511085	173.5647303635551	29.548514396866796
4650.0	235.4520089356592	173.93976131725205	29.729704604383596
