Gateway 0 Arrival Rate	Pure Cloud Buffer Occupancy Efficiency of 0	Next Hop Buffer Occupancy Efficiency of 0	Probabilistic DF Buffer Occupancy Efficiency of 0	Pure Cloud Buffer Occupancy Efficiency of 1	Next Hop Buffer Occupancy Efficiency of 1	Probabilistic DF Buffer Occupancy Efficiency of 1	Pure Cloud Buffer Occupancy Efficiency of 2	Next Hop Buffer Occupancy Efficiency of 2	Probabilistic DF Buffer Occupancy Efficiency of 2	Pure Cloud Buffer Occupancy Efficiency of Cloud	Next Hop Buffer Occupancy Efficiency of Cloud	Probabilistic DF Buffer Occupancy Efficiency of Cloud
1450.0	0.0	0.9787058999999999	0.9791003	0.0	0.06834140000000001	0.9857813	0.0	0.024957675000000002	0.06263127500000001	0.010302450000000001	0.00517553	5.90685E-4
1500.0	0.0	0.9798001000000001	0.9799105499999999	0.0	0.0640212	0.9856793999999999	0.0	0.02419475	0.06375845000000001	0.010538345000000001	0.005437405	5.9152E-4
1550.0	0.0	0.9809739000000001	0.98137385	0.0	0.06415850000000001	0.9883759	0.0	0.02541005	0.06430235	0.010779815000000002	0.005632115	6.5657E-4
1600.0	0.0	0.9811938	0.9814465000000002	0.0	0.07037	0.9891898000000001	0.0	0.02502205	0.069045175	0.010993615	0.006019095	6.6727E-4
1650.0	0.0	0.9827824	0.9817314500000001	0.0	0.06849730000000001	0.98975905	0.0	0.025329249999999998	0.0712048	0.011241255	0.00613551	7.1724E-4
1700.0	0.0	0.98308285	0.98333165	0.0	0.06711639999999999	0.9894353499999999	0.0	0.0251534	0.0751078	0.011416454999999999	0.006471034999999998	7.26615E-4
1750.0	0.0	0.9834398500000001	0.9831217500000001	0.0	0.0718721	0.9912699500000001	0.0	0.025463725	0.07533102500000001	0.01164716	0.006645714999999999	7.3726E-4
1800.0	0.0	0.9844343999999999	0.9845730500000001	0.0	0.06731909999999999	0.9913724	0.0	0.02509215	0.083051725	0.01186854	0.006900155	8.054399999999999E-4
1850.0	0.0	0.9849473	0.98442785	0.0	0.06440775000000001	0.9908119	0.0	0.02495435	0.08082195	0.01218007	0.0071509799999999995	8.171649999999999E-4
1900.0	0.0	0.9855698500000001	0.9854692500000001	0.0	0.06764475	0.9906157999999999	0.0	0.024843275	0.08771962500000001	0.012587635	0.00733196	8.3456E-4
1950.0	0.0	0.9853249	0.9856252999999999	0.0	0.07029955	0.9916292500000001	0.0	0.024883875	0.09106315000000001	0.012607085	0.007542355000000001	8.732050000000002E-4
2000.0	0.0	0.98596985	0.9860714500000001	0.0	0.0711475	0.9904282500000001	0.0	0.02605835	0.0948917	0.01299676	0.007774085	8.95425E-4
2050.0	0.0	0.9865910500000001	0.9867234249999999	0.0	0.066408125	0.9936184750000001	0.0	0.025259962500000004	0.0997368	0.013181314999999999	0.008113205	9.336924999999999E-4
2100.0	0.0	0.9869404249999999	0.9872954500000001	0.0	0.07049445	0.9928908	0.0	0.025180225	0.10462402499999998	0.013372884999999998	0.0082544275	9.72065E-4
2150.0	0.0	0.987053175	0.987739275	0.0	0.069162925	0.9923092249999999	0.0	0.025041799999999996	0.10650863750000002	0.013699040000000001	0.0085940275	9.612300000000001E-4
2200.0	0.0	0.9877652749999999	0.987495025	0.0	0.06455920000000001	0.9931648500000001	0.0	0.025180225	0.11189281250000001	0.013884974999999999	0.008887077499999998	0.00102701
2250.0	0.0	0.98827025	0.9877171499999999	0.0	0.065639575	0.9928354	0.0	0.025155699999999996	0.12409367499999999	0.0141033975	0.0090517225	0.0010363675
2300.0	0.0	0.988449825	0.9880292000000003	0.0	0.06926465	0.993968525	0.0	0.025323324999999997	0.1319856	0.014329620000000001	0.009265720000000002	0.0010592975
2350.0	0.0	0.9886924	0.9888713499999998	0.0	0.06569305	0.9946517499999998	0.0	0.0256214875	0.13598392499999998	0.0146023975	0.009566367499999999	0.0010790099999999998
2400.0	0.0	0.9892076249999999	0.9890717	0.0	0.069140075	0.9944621250000001	0.0	0.025535524999999996	0.1365215	0.014835565	0.009711864999999998	0.00108387
2450.0	0.0	0.9891076000000002	0.9895176999999998	0.0	0.068766725	0.99442505	0.0	0.025240712499999995	0.15547332500000002	0.015095807499999999	0.010039429999999998	0.0011155149999999999
2500.0	0.0	0.989740175	0.9894473499999998	0.0	0.06653117499999998	0.9944544499999999	0.0	0.0254934125	0.1603462375	0.015387834999999999	0.010229779999999999	0.0011873425000000003
2550.0	0.0	0.98986635	0.9897935	0.0	0.0668917	0.9950924749999999	0.0	0.025576737499999995	0.16622132500000003	0.015533402499999998	0.010455915	0.0011744575
2600.0	0.0	0.990095425	0.9901442750000001	0.0	0.06371095	0.9951910999999999	0.0	0.024997750000000003	0.18417849999999997	0.015836850000000003	0.010765212500000001	0.001202905
2650.0	0.0	0.9904937250000001	0.9902520499999999	0.0	0.0654002	0.99510475	0.0	0.025344125000000002	0.20772655	0.01601027	0.010978325	0.0012596025
