Gateway 0 Arrival Rate	Pure Cloud Average Effective Arrival rate of 0	Next Hop Average Effective Arrival rate of 0	Probabilistic DF Average Effective Arrival rate of 0	Pure Cloud Average Effective Arrival rate of 1	Next Hop Average Effective Arrival rate of 1	Probabilistic DF Average Effective Arrival rate of 1	Pure Cloud Average Effective Arrival rate of 2	Next Hop Average Effective Arrival rate of 2	Probabilistic DF Average Effective Arrival rate of 2	Pure Cloud Average Effective Arrival rate of Cloud	Next Hop Average Effective Arrival rate of Cloud	Probabilistic DF Average Effective Arrival rate of Cloud
3900.0	0.0	391.6666666666667	397.5	0.0	205.5	406.6666666666667	0.0	393.3333333333333	1614.0	4382.5	3389.6666666666665	377.3333333333333
3950.0	0.0	412.0	403.6666666666667	0.0	206.0	423.3333333333333	0.0	395.5	1638.1666666666667	4401.0	3394.8333333333335	383.5
4000.0	0.0	423.8333333333333	404.5	0.0	210.66666666666666	409.6666666666667	0.0	403.3333333333333	1601.3333333333333	4419.833333333333	3478.3333333333335	395.8333333333333
4050.0	0.0	413.0	420.0	0.0	207.33333333333334	410.6666666666667	0.0	403.3333333333333	1611.3333333333333	4480.833333333333	3486.3333333333335	396.3333333333333
4100.0	0.0	413.6666666666667	420.8333333333333	0.0	193.16666666666666	410.3333333333333	0.0	398.6666666666667	1619.8333333333333	4560.166666666667	3501.6666666666665	394.3333333333333
4150.0	0.0	398.0	404.6666666666667	0.0	196.5	415.1666666666667	0.0	385.6666666666667	1623.3333333333333	4577.166666666667	3604.3333333333335	405.1666666666667
4200.0	0.0	403.3333333333333	408.1666666666667	0.0	206.0	409.3333333333333	0.0	405.0	1601.0	4675.833333333333	3613.8333333333335	394.8333333333333
4250.0	0.0	414.5	408.1666666666667	0.0	194.0	422.5	0.0	387.5	1593.1666666666667	4719.5	3642.5	430.5
4300.0	0.0	422.1666666666667	415.1666666666667	0.0	207.16666666666666	400.3333333333333	0.0	389.8333333333333	1586.1666666666667	4756.5	3688.6666666666665	433.0
4350.0	0.0	410.3333333333333	404.6666666666667	0.0	209.0	399.5	0.0	393.1666666666667	1620.0	4763.5	3728.3333333333335	434.8333333333333
4400.0	0.0	398.5	416.6666666666667	0.0	199.66666666666666	418.8333333333333	0.0	373.8333333333333	1599.5	4812.0	3803.0	442.0
4450.0	0.0	400.6666666666667	408.1666666666667	0.0	198.0	406.1666666666667	0.0	378.6666666666667	1618.1666666666667	4865.333333333333	3840.3333333333335	437.0
4500.0	0.0	404.3333333333333	405.6666666666667	0.0	206.83333333333334	422.3333333333333	0.0	401.6666666666667	1607.6666666666667	4921.833333333333	3911.5	447.6666666666667
4550.0	0.0	402.1666666666667	411.5	0.0	196.5	411.8333333333333	0.0	386.6666666666667	1598.1666666666667	4926.0	3904.8333333333335	446.5
4600.0	0.0	412.0	429.6666666666667	0.0	199.5	407.5	0.0	399.8333333333333	1601.3333333333333	5008.5	3989.1666666666665	445.0
4650.0	0.0	420.1666666666667	400.1666666666667	0.0	198.0	427.3333333333333	0.0	392.5	1595.6666666666667	5030.166666666667	3984.1666666666665	472.5
4700.0	0.0	419.5	440.8333333333333	0.0	200.16666666666666	417.3333333333333	0.0	395.6666666666667	1626.0	5058.166666666667	4098.666666666667	441.3333333333333
4750.0	0.0	410.5	399.0	0.0	207.16666666666666	405.0	0.0	397.6666666666667	1613.3333333333333	5128.0	4117.166666666667	463.1666666666667
4800.0	0.0	410.5	403.5	0.0	208.66666666666666	404.1666666666667	0.0	411.3333333333333	1606.0	5180.666666666667	4167.5	477.8333333333333
4850.0	0.0	411.3333333333333	405.0	0.0	189.83333333333334	398.3333333333333	0.0	389.6666666666667	1614.0	5212.166666666667	4200.333333333333	474.3333333333333
4900.0	0.0	408.6666666666667	409.5	0.0	211.5	414.8333333333333	0.0	404.3333333333333	1607.3333333333333	5255.833333333333	4235.5	493.3333333333333
4950.0	0.0	405.3333333333333	403.6666666666667	0.0	200.5	397.3333333333333	0.0	404.8333333333333	1608.5	5380.166666666667	4297.166666666667	487.5
5000.0	0.0	410.6666666666667	412.6666666666667	0.0	202.16666666666666	396.5	0.0	402.0	1599.6666666666667	5340.166666666667	4325.5	473.8333333333333
