Gateway 0 Arrival Rate	Pure Cloud APP  Response Time of 0	Next Hop APP  Response Time of 0	Probabilistic DF APP  Response Time of 0	Pure Cloud APP  Response Time of 1	Next Hop APP  Response Time of 1	Probabilistic DF APP  Response Time of 1	Pure Cloud APP  Response Time of 2	Next Hop APP  Response Time of 2	Probabilistic DF APP  Response Time of 2	Pure Cloud APP  Response Time of Cloud	Next Hop APP  Response Time of Cloud	Probabilistic DF APP  Response Time of Cloud
0.0	235.39070310127437	0.3928328797245208	0.39459824269905674	236.5609920923549	1.5665786170756566	1.566533401781372	235.3909984491774	0.39259474911997855	0.3925034757907434	235.0012643705058	235.0004556443733	235.00081629402106
50.0	235.39094797630455	0.39507311611562745	0.39475241805584727	236.56100401754412	1.5666934856000443	1.5663342140751062	235.3909932099018	0.3925146765374878	0.39251518069045566	235.00083798823425	235.0005869897068	235.00113093942468
100.0	235.39102358290702	0.39536443842025487	0.3953820097757336	236.56100327677433	1.5666518485081398	1.566681615408078	235.39100383493928	0.39249693187711143	0.3925345837964411	235.00137805509834	235.0007460953911	235.00078240276736
150.0	235.3910026697801	0.3961006540510706	0.3956512643444211	236.56098415645397	1.5665276473861867	1.5664293396576823	235.39099735100984	0.3924675410861208	0.39250762422805885	235.00106566229297	235.0009655184087	235.00146342254
200.0	235.39097637003542	0.39630524006292916	0.3966455687192302	236.5610315121572	1.5669358844456882	1.5669259072284951	235.39099939981816	0.3925455143695702	0.39252388123318344	235.0026673190758	235.0011134472787	235.00104553728988
250.0	235.39102142901575	0.39794326690022397	0.3985216503635308	236.5610089874686	1.566305135256369	1.566318410967496	235.39101203563342	0.39251316588122365	0.39252810567811025	235.00081894861145	235.00087992733717	235.00109828460148
300.0	235.3910039750653	0.44061738090414737	0.557715550621851	236.56101740299738	1.56655266709719	1.5663899624475952	235.39100483090914	0.39255151470517236	0.3925618065359854	235.00090493112776	235.00048257500612	235.00144572917208
350.0	235.39101037353126	1.3551713256915239	0.7142752203488564	236.5610161834576	1.5668800949303943	1.5671916651826234	235.39101734347565	0.39251246273351753	0.3924925690661879	235.0007866566716	235.00183690288486	235.00112340581305
400.0	235.3910064627023	8.164303983977412	1.7736368054710716	236.56096816041494	1.5666834046514126	1.5666233822965447	235.39099868786496	0.39252166740408084	0.3924794640857245	235.00154173864567	235.00130635963046	235.0014960859422
450.0	235.39100553790445	21.54608946394755	3.8383531223321783	236.5610028823406	1.5667880250118897	1.5671414476365069	235.39099623663748	0.39249060909712635	0.3925236103125044	235.0009425595249	235.00066750135912	235.0005418708628
500.0	235.39100962874687	50.421838207242544	5.459080677241634	236.5610181971702	1.5665944374347638	1.5680547353808778	235.39099948721088	0.39251015409418255	0.3925333545026229	235.00139822746218	235.00065668793246	235.00124108364267
550.0	235.3910203417185	62.56449489264681	7.822303102715243	236.56102064025555	1.5674264827199966	1.5694546021187286	235.3910064707688	0.39250022955475017	0.3925090364375824	235.0006633479254	235.000896278243	235.00166204091215
600.0	235.39101091533058	79.7626628132051	10.320036140537283	236.56100948962202	1.5666650978707388	1.5712768443935254	235.3910061639374	0.3925503788240732	0.392545266026196	235.00107815857427	235.00137989039595	235.00033628465698
650.0	235.3910040350864	92.44540410263816	10.757176797113603	236.5610002680005	1.5669149865164778	1.5721924672646084	235.39101280468998	0.3925517330275837	0.39251574249161203	235.00064861916377	235.00081980957125	235.00114756038747
700.0	235.39099298681873	99.62917073162858	13.074931504948433	236.56099707976244	1.5667348335067826	1.5749133139694054	235.3910102715714	0.39249240185094203	0.39257709016337505	235.00053555311356	235.00037832383336	235.00082299825854
750.0	235.39098941754938	107.30347130450772	12.684462288273798	236.56098878025114	1.5668189447636016	1.5752948058825351	235.39098992147933	0.3925069399372968	0.39256179658076706	235.00130167109438	235.00134239291475	235.0006281051626
800.0	235.39100357269413	114.05577519599845	13.415066654523297	236.5610077904088	1.5667914123014746	1.5819097749829019	235.39101475147746	0.39249408745665837	0.3925490832598896	235.00104671140326	235.00046124168912	235.00083047797904
850.0	235.39100139568336	124.32413699447076	15.039770289354498	236.56100808269383	1.5669140335091574	1.582618426867918	235.39101670178735	0.39254733551488086	0.39257432165522177	235.00085113985853	235.00060218436187	235.00150609835833
900.0	235.39099345535797	128.9172747450062	14.957730763913233	236.5610022928152	1.5665336651570505	1.5874649781914876	235.39100184806347	0.3925474166886854	0.39258858455782686	235.00053788476006	235.0012691237861	235.00067647016658
950.0	235.39099928741038	135.68219516090292	16.876377422470252	236.56101181204804	1.566588213748198	1.5917584325584735	235.39100046609596	0.3925032795093895	0.39257820337783633	235.00074191045252	235.00109629385733	235.00105111758435
1000.0	235.39099277422747	140.4640603596783	16.82874045684433	236.56101350380828	1.5667903187837469	1.5917304325564525	235.39100729128563	0.3925232865970507	0.3926156819861374	235.00089367130377	235.0004312510902	235.00075055295878
1050.0	235.39100868420473	142.3381981919834	17.504231927343152	236.56100846288936	1.566569733840265	1.5964769434162283	235.39099212328696	0.3925303302693609	0.39266527417501745	235.00124776021516	235.00093743141124	235.00141897267696
1100.0	235.39101011489555	149.13737905416784	17.975673932223174	236.56099163924108	1.5667789498286147	1.5995142680302286	235.3910068280166	0.3925172132692321	0.3926629904627475	235.00073103576	235.00104815838645	235.00114546786304
1150.0	235.3909968938101	151.14869506046549	17.91313911092346	236.56098718989855	1.5665074509796595	1.6004334701652556	235.3909929657466	0.3924843993149665	0.39269495574492164	235.0012988049085	235.00059099796795	235.00136034133675
