Gateway 0 Arrival Rate	Analytical Avg Gateway Buffer Occupancy Efficiency of 0	Simulation Avg Gateway Buffer Occupancy Efficiency of 0	Analytical Avg Gateway Buffer Occupancy Efficiency of 1	Simulation Avg Gateway Buffer Occupancy Efficiency of 1	Analytical Avg Gateway Buffer Occupancy Efficiency of 2	Simulation Avg Gateway Buffer Occupancy Efficiency of 2	Analytical Avg Gateway Buffer Occupancy Efficiency of Cloud	Simulation Avg Gateway Buffer Occupancy Efficiency of Cloud
0.0	0.0	5.755E-5	0.0	0.0655954	0.0	0.025015199999999998	0.0	1.03E-6
50.0	0.012698412698412698	0.01170885	0.06666600969060878	0.06310585	0.02517006802721088	0.02449055	3.825641202997387E-23	1.425E-6
100.0	0.026666666666288318	0.0276764	0.06666600969063526	0.0657682	0.025170068027214047	0.025140625	6.189133705830997E-17	9.95E-7
150.0	0.04363636192675742	0.04354845	0.06666600979065951	0.06432835	0.0251700680391733	0.02435125	2.3386884707522485E-13	1.8449999999999997E-6
200.0	0.06666600969060878	0.0662752	0.06666604053921152	0.0705413	0.0251700717155805	0.024898399999999998	7.210867989794273E-11	1.325E-6
250.0	0.10249851128875338	0.11007665	0.06666832537845976	0.0631187	0.025170344894393116	0.0259233	5.412829331744304E-9	1.385E-6
300.0	0.1686251071081239	0.17412965	0.06673216743502405	0.06461360000000001	0.025177974145965724	0.025085075000000002	1.5456423983364374E-7	2.715E-6
350.0	0.3024363856005177	0.27789070000000005	0.06750917320878609	0.07482265000000002	0.025270242656840792	0.02496505	1.9580173074444703E-6	4.885E-6
400.0	0.5121951219512196	0.5003532500000001	0.07158240801219705	0.07124475	0.02573675431757263	0.025012125000000003	1.1065080447835888E-5	1.319E-5
450.0	0.7006876333665059	0.7220574	0.0815678955068238	0.08266425000000001	0.026768853719258023	0.027036825000000004	3.114356241202597E-5	2.9615E-5
500.0	0.8107180919102479	0.8118709500000001	0.0972237970766516	0.0981306	0.028121627020776585	0.028114500000000004	5.7303131407487996E-5	4.8280000000000005E-5
550.0	0.8681801175818464	0.84708305	0.11854222566094308	0.12691784999999997	0.029575005127711534	0.029053275	8.518888992462158E-5	8.107000000000001E-5
600.0	0.9002556834369629	0.90092415	0.14731994216231167	0.16643555	0.031061248176734113	0.031617125	1.1344550485251547E-4	1.2204499999999999E-4
650.0	0.9200499337749035	0.9166435999999999	0.18681407723437285	0.19391725	0.03256698539365985	0.03232742500000001	1.4177829009514784E-4	1.4735E-4
700.0	0.9333443571939977	0.92775335	0.24103232678635073	0.24676299999999998	0.034091098837983266	0.0340911	1.7012745383649907E-4	1.9064E-4
750.0	0.9428598472533356	0.93520465	0.3128509106815655	0.2703862	0.03563509517779213	0.035334025000000005	1.984804081257641E-4	1.8839999999999997E-4
800.0	0.9500007271771864	0.9412489500000001	0.4007807081153608	0.41586914999999997	0.03720118429318701	0.03627	2.2683431142517837E-4	2.06485E-4
850.0	0.9555557674776332	0.95244815	0.4969372860167983	0.44469975	0.038791902103060986	0.03797665	2.551884710566204E-4	2.34445E-4
900.0	0.960000066321004	0.95329675	0.5897596379853459	0.568895	0.04041004611197917	0.040142175	2.835427049957086E-4	2.7445E-4
950.0	0.9636363857517584	0.9597766	0.6699680380482199	0.6789978999999999	0.04205868021083727	0.04206885	3.118969619204017E-4	3.2363999999999993E-4
1000.0	0.9666666744731993	0.9617869500000001	0.7339551048304304	0.6950099	0.04374115843746426	0.04364875	3.402512263897249E-4	3.37265E-4
1050.0	0.9692307721315299	0.9653845499999999	0.7827330293595063	0.8151552499999999	0.04546115700590995	0.045409750000000006	3.6860549347322207E-4	3.6444000000000005E-4
1100.0	0.9714285725577614	0.9687886499999999	0.8192916772290009	0.86492915	0.04722271267730342	0.047398675	3.969597615084577E-4	4.055400000000001E-4
1150.0	0.9733333337919131	0.9710693499999999	0.846757493576966	0.8992962	0.04903026773392623	0.049709949999999996	4.25314029906248E-4	4.0849500000000004E-4
1200.0	0.9750000001935881	0.9726703000000001	0.8676713606570982	0.9118567500000001	0.05088872253187252	0.050873975	4.5366829844801186E-4	4.69155E-4
1250.0	0.9764705883199731	0.9735687000000001	0.8838943535504711	0.9492805000000001	0.05280349700074799	0.051197475000000006	4.8202256704917934E-4	4.6782999999999997E-4
1300.0	0.9777777778160504	0.9757599500000002	0.8967321235537551	0.9632248999999999	0.05478060282024896	0.0543843	5.103768356757369E-4	4.99935E-4
1350.0	0.9789473684388819	0.9762697499999999	0.9070892481487156	0.9737825000000001	0.05682672842246315	0.056322300000000006	5.387311043135066E-4	5.3832E-4
1400.0	0.980000000008542	0.9780505999999999	0.9155947602475824	0.9883336	0.058949339489667116	0.06188932500000001	5.670853729563803E-4	5.96675E-4
1450.0	0.9809523809565812	0.9791003	0.9226914668651218	0.9857813	0.061156798279429325	0.06263127500000001	5.954396416016429E-4	5.90685E-4
1500.0	0.981818181820298	0.9799105499999999	0.9286962249026228	0.9856793999999999	0.06345850595879907	0.06375845000000001	6.237939102480543E-4	5.9152E-4
1550.0	0.9826086956532645	0.98137385	0.9338398713367917	0.9883759	0.06586507322865268	0.06430235	6.521481788950318E-4	6.5657E-4
1600.0	0.9833333333339075	0.9814465000000002	0.9382936412962707	0.9891898000000001	0.06838852595029613	0.069045175	6.805024475422943E-4	6.6727E-4
1650.0	0.9840000000003084	0.9817314500000001	0.942186784644709	0.98975905	0.07104255436035005	0.0712048	7.088567161897034E-4	7.1724E-4
