Gateway 0 Arrival Rate	Analytical Buffer Occupancy of 0	Simulation Buffer Occupancy of 0	Analytical Buffer Occupancy of 1	Simulation Buffer Occupancy of 1	Analytical Buffer Occupancy of 2	Simulation Buffer Occupancy of 2	Analytical Buffer Occupancy of Cloud	Simulation Buffer Occupancy of Cloud
0.0	0.0	0.0011510000000000001	1.3333201938121755	1.311908	1.0068027210884352	1.0006080000000002	0.0	2.0600000000000002E-4
50.0	0.25396825396825395	0.23417700000000002	1.3333201938121755	1.262117	1.0068027210884352	0.979622	7.651282405994774E-21	2.85E-4
100.0	0.5333333333257664	0.553528	1.333320193812705	1.3153640000000002	1.006802721088562	1.0056249999999998	1.2378267411661994E-14	1.99E-4
150.0	0.8727272385351483	0.870969	1.3333201958131902	1.286567	1.006802721566932	0.9740500000000001	4.677376941504497E-11	3.69E-4
200.0	1.3333201938121755	1.325504	1.3333208107842303	1.410826	1.00680286862322	0.995936	1.4421735979588544E-8	2.65E-4
250.0	2.0499702257750676	2.201533	1.3333665075691952	1.262374	1.0068137957757246	1.036932	1.0825658663488608E-6	2.77E-4
300.0	3.3725021421624777	3.482593	1.3346433487004812	1.292272	1.007118965838629	1.003403	3.091284796672875E-5	5.43E-4
350.0	6.048727712010354	5.5578140000000005	1.3501834641757218	1.496453	1.0108097062736316	0.998602	3.9160346148889405E-4	9.77E-4
400.0	10.243902439024392	10.007065	1.431648160243941	1.4248949999999998	1.0294701727029052	1.000485	0.0022130160895671774	0.002638
450.0	14.013752667330117	14.441147999999998	1.6313579101364761	1.653285	1.070754148770321	1.081473	0.006228712482405194	0.005923
500.0	16.214361838204958	16.237419	1.944475941533032	1.962612	1.1248650808310634	1.1245800000000001	0.0114606262814976	0.009656000000000001
550.0	17.363602351636928	16.941661000000003	2.3708445132188616	2.5383570000000004	1.1830002051084614	1.162131	0.017037777984924316	0.016214
600.0	18.00511366873926	18.018483	2.9463988432462336	3.3287109999999998	1.2424499270693645	1.264685	0.022689100970503095	0.024408999999999997
650.0	18.40099867549807	18.332872	3.736281544687457	3.8783450000000004	1.302679415746394	1.293097	0.028355658019029565	0.029470000000000003
700.0	18.666887143879954	18.555067	4.820646535727015	4.9352599999999995	1.3636439535193305	1.363644	0.03402549076729981	0.03812800000000001
750.0	18.85719694506671	18.704093	6.25701821363131	5.407724	1.425403807111685	1.413361	0.03969608162515282	0.037680000000000005
800.0	19.000014543543728	18.824978999999995	8.015614162307216	8.317383	1.4880473717274803	1.4507999999999999	0.045366862285035676	0.041297
850.0	19.111115349552662	19.048963	9.938745720335966	8.893995	1.5516760841224395	1.519066	0.05103769421132408	0.04688900000000001
900.0	19.20000132642008	19.065935	11.795192759706918	11.3779	1.6164018444791666	1.605687	0.056708540999141716	0.054889999999999994
950.0	19.272727715035167	19.195532	13.399360760964399	13.579958	1.682347208433491	1.6827540000000003	0.06237939238408034	0.06472800000000001
1000.0	19.333333489463985	19.235739000000002	14.679102096608608	13.900198	1.7496463374985705	1.74595	0.06805024527794498	0.067453
1050.0	19.384615442630597	19.307691	15.654660587190126	16.303105000000002	1.8184462802363979	1.8163899999999997	0.07372109869464441	0.072888
1100.0	19.42857145115523	19.375773000000002	16.385833544580017	17.298583	1.8889085070921368	1.895947	0.07939195230169153	0.081108
1150.0	19.466666675838262	19.421387	16.93514987153932	17.985924000000004	1.9612107093570492	1.988398	0.0850628059812496	0.081699
1200.0	19.50000000387176	19.453405999999998	17.353427213141963	18.237135	2.035548901274901	2.034959	0.09073365968960237	0.093831
1250.0	19.529411766399463	19.471374	17.677887071009422	18.985609999999998	2.1121398800299196	2.047899	0.09640451340983587	0.09356600000000001
1300.0	19.555555556321007	19.515199000000003	17.9346424710751	19.264497999999996	2.1912241128099583	2.1753720000000003	0.1020753671351474	0.099987
1350.0	19.578947368777637	19.525395	18.141784962974313	19.47565	2.273069136898526	2.252892	0.10774622086270132	0.10766400000000001
1400.0	19.60000000017084	19.561011999999998	18.311895204951647	19.766672	2.3579735795866847	2.475573	0.11341707459127606	0.11933500000000001
1450.0	19.619047619131624	19.582006	18.453829337302437	19.715626	2.446271931177173	2.5052510000000003	0.11908792832032859	0.118137
1500.0	19.63636363640596	19.598211	18.573924498052456	19.713587999999998	2.5383402383519624	2.550338	0.12475878204961087	0.118304
1550.0	19.65217391306529	19.627477	18.676797426735835	19.767518000000003	2.6346029291461073	2.572094	0.13042963577900635	0.13131400000000001
